station_name,equipment_room_area,electrical_room_area,waiting_room_area,station_id,station_place,signal_room_area,station_area,machine_room_area,동명
양동시장역,"1,401.46",950.73,172.33,13,경열로 지하 152(양동),0,"2,587.34",62.82,양동
쌍촌역,"1,165.50",0,201.10,9,상무대로 지하 983(쌍촌동),0,"2,527.89",94.99,쌍촌동
돌고개역,"1,170.62",208.08,184.71,12,경열로 지하 87(농성동),0,"1,636.16",72.75,농성동
녹동역,0,0,20.00,20,녹동길 45(용산동),0,33.60,13.60,용산동
소태역,"2,191.24",192.70,107.49,19,남문로 지하 587(소태동),170.00,"2,746.43",85.00,소태동
김대중컨벤션센터역,"1,125.18",986.00,210.73,6,상무대로 지하 705(마륵동),47.60,"2,464.71",95.20,마륵동
농성역,"1,204.00",203.00,222.10,11,상무대로 지하 1123(농성동),187.00,"1,898.60",82.50,농성동
공항역,"1,203.93",980.71,156.90,5,상무대로 지하 416-99(신촌동),0,"2,455.54",114.00,신촌동
평동역,149.31,205.52,195.29,1,평동로 870(월전동),224.87,836.87,61.88,월전동
금남로/4가역,"1,308.02",265.00,186.94,15,금남로 지하 210(금남로4가),0,"1,845.11",85.15,금남로4가
문화/전당역,"1,605.36",235.48,186.94,16,문화전당로 26번길 지하7(광산동),0,"2,122.09",94.31,광산동
학동 · 증심사입구역,"1,221.57",194.40,173.16,18,남문로 지하 700(학동),0,"1,649.33",60.20,학동
상무역,"1,337.73",221.00,202.00,7,상무대로 지하 777(마륵동),177.57,"2,074.11",135.81,마륵동
운천역,"1,153.58",178.50,155.45,8,상무대로 지하 883(쌍촌동),0,"1,558.97",71.44,쌍촌동
광주/송정역,"1,092.96",185.58,123.69,3,상무대로 지하 201-99(송정동),173.77,"1,660.49",84.49,송정동
송정/공원역,"1,249.64",168.00,192.72,4,상무대로 지하 314-99(송정동),0,"1,699.61",89.25,송정동
화정역,"1,000.15",190.00,153.94,10,상무대로 지하 1041(화정동),0,"1,405.44",61.35,화정동
도산역,"1,235.79",0,212.75,2,상무대로 지하 125-99(도산동),0,"2,600.23",92.00,도산동
금남로/5가역,"1,175.00",190.00,182.81,14,금남로 지하 138(금남로5가),168.00,"1,775.81",60.00,금남로5가
남광주역,"1,091.26",994.29,212.41,17,제봉로 지하1(학동),0,"2,384.46",86.50,학동
