법정동코드,1개월후,2개월후,3개월후,6개월후,1년후,2년후,3년후
2920011700,35189.7833,35205.70694,35221.63057,35269.40148,36766.22336,38358.58706,39950.95076
2920010100,35190.35446,35206.2781,35222.20173,35269.97264,36766.79452,38359.15822,39951.52192
2915510800,36796.49282,36812.41645,36828.34009,36876.111,38372.93288,39965.29658,41557.66028
2917010800,36261.03007,36276.95371,36292.87734,36340.64825,37837.47013,39429.83383,41022.19753
2917011400,36260.81588,36276.73952,36292.66316,36340.43407,37837.25595,39429.61965,41021.98335
2917011600,36260.74449,36276.66813,36292.59176,36340.36267,37837.18455,39429.54825,41021.91195
2917012900,36260.28042,36276.20406,36292.1277,36339.89861,37836.72048,39429.08418,41021.44788
2917011500,36260.78019,36276.70382,36292.62746,36340.39837,37837.22025,39429.58395,41021.94765
2917013100,36260.20903,36276.13266,36292.0563,36339.82721,37836.64909,39429.01279,41021.37649
2917010700,36261.06577,36276.9894,36292.91304,36340.68395,37837.50583,39429.86953,41022.23323
2914013000,37331.17022,37347.09385,37363.01749,37410.7884,38907.61028,40499.97398,42092.33768
2914012100,37331.49149,37347.41513,37363.33877,37411.10968,38907.93156,40500.29526,42092.65896
2914011800,37331.59859,37347.52222,37363.44586,37411.21677,38908.03865,40500.40235,42092.76605
2920010900,35190.06888,35205.99252,35221.91615,35269.68706,36766.50894,38358.87264,39951.23634
2920012000,35189.67621,35205.59984,35221.52348,35269.29439,36766.11627,38358.47997,39950.84367
2915511500,36796.24293,36812.16657,36828.09021,36875.86112,38372.683,39965.04669,41557.41039
2915510600,36796.56421,36812.48785,36828.41149,36876.1824,38373.00427,39965.36797,41557.73167
2917012700,36260.35182,36276.27545,36292.19909,36339.97,37836.79188,39429.15558,41021.51928
2914010400,37332.09835,37348.02199,37363.94563,37411.71654,38908.53841,40500.90211,42093.26581
2914011600,37331.66998,37347.59362,37363.51726,37411.28817,38908.11004,40500.47374,42092.83744
2914012000,37331.52719,37347.45083,37363.37447,37411.14538,38907.96725,40500.33095,42092.69465
2914011900,37331.56289,37347.48653,37363.41016,37411.18107,38908.00295,40500.36665,42092.73035
2920010200,35190.31876,35206.2424,35222.16604,35269.93695,36766.75882,38359.12252,39951.48622
2920011500,35189.85469,35205.77833,35221.70197,35269.47288,36766.29476,38358.65846,39951.02216
2915510400,36796.63561,36812.55924,36828.48288,36876.25379,38373.07567,39965.43937,41557.80307
2911010900,38402.84536,38418.76899,38434.69263,38482.46354,39979.28542,41571.64912,43164.01282
2917013000,36260.24472,36276.16836,36292.092,36339.86291,37836.68479,39429.04849,41021.41219
2917010900,36260.99437,36276.91801,36292.84165,36340.61256,37837.43443,39429.79813,41022.16183
2920011900,35189.7119,35205.63554,35221.55918,35269.33009,36766.15197,38358.51567,39950.87937
2920011800,35189.7476,35205.67124,35221.59488,35269.36579,36766.18766,38358.55136,39950.91506
2917012800,36260.31612,36276.23976,36292.16339,36339.9343,37836.75618,39429.11988,41021.48358
2914012800,37331.24161,37347.16525,37363.08889,37410.8598,38907.68167,40500.04537,42092.40907
2920012800,35189.39063,35205.31426,35221.2379,35269.00881,36765.83069,38358.19439,39950.55809
2917011200,36260.88728,36276.81092,36292.73455,36340.50546,37837.32734,39429.69104,41022.05474
2920011300,35189.92609,35205.84973,35221.77336,35269.54427,36766.36615,38358.72985,39951.09355
2920011200,35189.96179,35205.88542,35221.80906,35269.57997,36766.40185,38358.76555,39951.12925
2915510500,36796.59991,36812.52355,36828.44718,36876.21809,38373.03997,39965.40367,41557.76737
2917010100,36261.27995,36277.20359,36293.12723,36340.89814,37837.72001,39430.08371,41022.44741
2915511400,36796.27863,36812.20227,36828.12591,36875.89682,38372.71869,39965.08239,41557.44609
2917010600,36261.10147,36277.0251,36292.94874,36340.71965,37837.54153,39429.90523,41022.26893
2917011000,36260.95867,36276.88231,36292.80595,36340.57686,37837.39874,39429.76244,41022.12614
2911012100,38402.41699,38418.34062,38434.26426,38482.03517,39978.85705,41571.22075,43163.58445
2917011300,36260.85158,36276.77522,36292.69886,36340.46977,37837.29164,39429.65534,41022.01904
2917010500,36261.13716,36277.0608,36292.98444,36340.75535,37837.57722,39429.94092,41022.30462
2920010800,35190.10458,35206.02821,35221.95185,35269.72276,36766.54464,38358.90834,39951.27204
2911011000,38402.80966,38418.7333,38434.65693,38482.42785,39979.24972,41571.61342,43163.97712
2911012600,38402.2385,38418.16214,38434.08577,38481.85668,39978.67856,41571.04226,43163.40596
2911012200,38402.38129,38418.30493,38434.22856,38481.99947,39978.82135,41571.18505,43163.54875
2917011700,36260.70879,36276.63243,36292.55607,36340.32698,37837.14885,39429.51255,41021.87625
2920012700,35189.42632,35205.34996,35221.2736,35269.04451,36765.86639,38358.23009,39950.59378
2915511200,36796.35003,36812.27366,36828.1973,36875.96821,38372.79009,39965.15379,41557.51749
2911011100,38402.77396,38418.6976,38434.62124,38482.39215,39979.21402,41571.57772,43163.94142
2911013300,38401.98862,38417.91225,38433.83589,38481.6068,39978.42868,41570.79238,43163.15608
2911011900,38402.48838,38418.41202,38434.33566,38482.10657,39978.92844,41571.29214,43163.65584
2914010600,37332.02696,37347.95059,37363.87423,37411.64514,38908.46702,40500.83072,42093.19442
2920010600,35190.17597,35206.09961,35222.02325,35269.79416,36766.61603,38358.97973,39951.34343
2911010800,38402.88106,38418.80469,38434.72833,38482.49924,39979.32112,41571.68482,43164.04852
2914011500,37331.70568,37347.62932,37363.55295,37411.32386,38908.14574,40500.50944,42092.87314
2914013200,37331.09882,37347.02246,37362.9461,37410.71701,38907.53888,40499.90258,42092.26628
2917011100,36260.92298,36276.84661,36292.77025,36340.54116,37837.36304,39429.72674,41022.09044
2915511300,36796.31433,36812.23797,36828.1616,36875.93251,38372.75439,39965.11809,41557.48179
2920010400,35190.24737,35206.171,35222.09464,35269.86555,36766.68743,38359.05113,39951.41483
2915510300,36796.6713,36812.59494,36828.51858,36876.28949,38373.11137,39965.47507,41557.83876
2911013200,38402.02431,38417.94795,38433.87159,38481.6425,39978.46438,41570.82808,43163.19178
2915510100,36796.7427,36812.66634,36828.58997,36876.36088,38373.18276,39965.54646,41557.91016
2917012600,36260.38751,36276.31115,36292.23479,36340.0057,37836.82758,39429.19128,41021.55498
2914013100,37331.13452,37347.05816,37362.98179,37410.7527,38907.57458,40499.93828,42092.30198
2915510700,36796.52851,36812.45215,36828.37579,36876.1467,38372.96858,39965.33228,41557.69597
2920011400,35189.89039,35205.81403,35221.73767,35269.50858,36766.33045,38358.69415,39951.05785
2915512000,36796.06445,36811.98808,36827.91172,36875.68263,38372.50451,39964.86821,41557.23191
2920012300,35189.56911,35205.49275,35221.41639,35269.1873,36766.00918,38358.37288,39950.73658
2920012400,35189.53342,35205.45705,35221.38069,35269.1516,36765.97348,38358.33718,39950.70088
2911010400,38403.02385,38418.94748,38434.87112,38482.64203,39979.46391,41571.82761,43164.19131
2914013300,37331.06312,37346.98676,37362.9104,37410.68131,38907.50319,40499.86689,42092.23059
2920011600,35189.819,35205.74263,35221.66627,35269.43718,36766.25906,38358.62276,39950.98646
2920010700,35190.14027,35206.06391,35221.98755,35269.75846,36766.58034,38358.94404,39951.30774
2915511000,36796.42142,36812.34506,36828.2687,36876.03961,38372.86148,39965.22518,41557.58888
2911010200,38403.09524,38419.01888,38434.94251,38482.71343,39979.5353,41571.899,43164.2627
2920012500,35189.49772,35205.42136,35221.34499,35269.1159,36765.93778,38358.30148,39950.66518
2911013000,38402.09571,38418.01935,38433.94298,38481.71389,39978.53577,41570.89947,43163.26317
2911012300,38402.34559,38418.26923,38434.19287,38481.96378,39978.78565,41571.14935,43163.51305
2917010400,36261.17286,36277.0965,36293.02013,36340.79105,37837.61292,39429.97662,41022.34032
2911010100,38403.13094,38419.05457,38434.97821,38482.74912,39979.571,41571.9347,43164.2984
2915511100,36796.38572,36812.30936,36828.233,36876.00391,38372.82579,39965.18949,41557.55318
2917010200,36261.24426,36277.16789,36293.09153,36340.86244,37837.68432,39430.04802,41022.41172
2915512100,36796.02875,36811.95239,36827.87602,36875.64693,38372.46881,39964.83251,41557.19621
