날짜,내용
2022.05.10,다주택자 양도세 중과 한시적 배제
2022.05.10,1가구 1주택 양도세 · 비과세 보유 및 거주기간 재기산 제도 폐지
2022.05.10,일시적 1가구 2주택 비과세 요건 완화
2022.06.21,임대료 5% 이내 상한시 양도소득세 비과세 2년 거주요건 면제
2022.06.21,생애 첫 주택구입 시 200만원 한도 내 취득세 면제
2022.07.20,생애최초 주택구매자의 LTV상한 80% 완화
2022.08.16,270만 가구 규모 주택 공급
2022.08.16,2024년까지 1기 신도시 재정비 마스터플랜 수립
2022.09.01,임차인 법적권리 강화
2022.09.01,보증금 미반환 피해 지원
2022.09.29,재건축 부담금 합리화 방안
2022.11.10,무주택자 LTV 50% 일원화 조기 시행
2022.11.21,선순위 임차인 정보 확인권 신설
2022.11.21,체납정보 확인권 신설
2022.11.21,최우선 변제금 상향조정
2022.11.21,주택임대차표준계약서 개정
2022.12.08,재건축 안전진단 기준 완화
2022.12.21 ,전용면적 85m2 이하 중소형 아파트 임대사업 부활
2023.01.03,"강남3구, 용산구 제외한 모든 지역 투기과열지구 및 조정 대상 지역 해제"
2023.01.03,전매 제한 완화
2023.01.03,분양가상한제 실거주의무 폐지
2023.01.03,중도금 대출 기준 전면 폐지
2023.01.03,무순위 청약 자격조건 완화
2023.01.03,1주택 청약 당첨자 기존주택 처분 의무 폐지
2023.02.02,자가진단 안심전세 앱 출시
2023.02.02,전세가율 100% -> 90% 하향
2023.02.02,"저리대출 보증금 요건 3억원 완화, 대출액 한도 2.4억원 확대"
2023.04.27,전세사기 피해자 인정시 우선매수권 특례 부여
2023.04.27,LH 공공매입 거주
2023.04.27,세제 · 금융지원
2017.06.19,주택시장 안정적 관리 위한 선별적 맞춤형 대응 방안
2017.06.19,조정대상지역 추가 지정
2017.06.19,조정대상지역 내 청약
2017.06.19,담보인정비율(LTV) · 총부채상환비율(DTI) 등 대출 규제 강화
2017.08.02,실수요 보호와 단기 투기수요 억제 통한 주택시장 안정화 방안
2017.08.02,"투기지역 · 투기과열지구 지정, 재건축 · 재개발 규제정비"
2017.08.02,양도소득세 강화
2017.08.02,LTV · DTI 금융규제 강화
2017.08.02,자금조달계확 신고 의무화
2017.08.02,특별사법경찰제 도입
2018.09.13,조정대상지역 2주택 이상 보유자에 대한 주택분 종부 최고세율
2018.09.13,최고 3.2% 중과
2018.09.13,세부담 상한 150% 에서 300%로 상향
2018.09.13,과표 3억 ~ 6억원 구간 신설 및 세율 0.2%p 인상
2019.12.16,3주택 이상 보유자와 서울 · 세종 전역 및 경기 일부 등 집값 급등한 조정대상지역 2주택 이상 보유자에 대해 주택분 종부세 세율 최고 4.0% 로 중과
2019.12.16,세 부담 상한도 200%에서 300%로 상향
2020.02.20,"경기도 수원, 안양 등 조정대상지역 지정"
2020.02.20,조정대상지역 주택담보대출비율(LTV) 60%에서 50%fh 조정
2020.05.06,수도권 주택공급 기반 강화 방안
2020.05.06,서울 용산역 정비창에 8천가구 아파트 공급 등 서울 도심 유휴부지 18곳 개발 및 수도권 3기 신도시 조기 분양
2020.06.17,인천 · 대전 등 투기과열지구 대폭 확대 및 수도권 절반 · 대전 · 청주등 조정대상지역으로 지정 
2020.06.17,재건축 조합원 아파트 분양받으려면 2년 실거주
2020.06.17,법인 보유 주택 종합부동산세 3~4%적용
2020.06.17,전 규제 지역 내 주택 구입 위해 주택담보대출 받는 경우 6개월내 처분 · 전입 의무 부과
2020.06.17,전세대출로 투기지역 · 투기과열지구에서 3억원 초과 아파트 매수시 전세 대출 즉시 회수해 갭투자 차단
2020.07.10,"종합부동산세, 양도소득세, 취득세, 제산세 등 세율 인상"
2020.07.10,실수요자 부담 경감 등 주택공급 확대
2020.08.04,부동산 시장 안정화를 위한 수도권 공공임대 및 공공분양 포함 13.2만 + α호 규모 신규 주택 추가 공급
2020.08.04,태릉골프장 부지 등 추가 택지 개발
2020.11.19,서민 · 중산층 주거안정 지원방안
2020.11.19,2022년까지 다세대 매입임대 중심 공공임대 11만 4천 100가구 공급
2020.12.17,지방 광역시 부산 · 대구 · 광주 · 울산 등 4개 시 23곳 지방 도시 파주 · 천안 동남 등 11개 시 13개 지역 신규 지정 
2020.12.17,17일 현재 전국 조정대상지역 111곳 · 투기과열지구는 49곳
2013.04.01,미분양 · 신축주택 외에 기존주택도 양도세 5년간 면제
2013.04.01,"분양가상한제 신축운영, 리모델링 수직증축 허용"
2013.07.24,건설사 대상 모기지보증 · 전세보증금 반환보증 시행
2013.07.24,민간부분 주택공급조절 본격 시행
2013.08.28,취득세율 영구인하
2013.08.28,연 1%대 초저리 수익 · 전세보증금 반환보증 시행
2013.12.03,"목돈 안드는 전세 보완, 행복주택 축소"
2013.12.03,공유형 모기지 본사업 시행(1만5000가구)
2014.02.26,민간주도의 '임대주택리츠'를 활성화
2014.02.26,임대소득 과세방식정비(연간 2000만원 이하 분리과세)
2014.07.24,주택담보대출 규제완화(LTV · DTI 전금융권 70% 일괄적용)
2014.07.24,청약통장 일원화(주택청약종합저축)로 재형기능 강화
2014.09.01,재건축 연한규제 완화(최장 40년 -> 30년)
2014.09.01,수도권 청약 1 ~ 2 순위 통합 및 기간단축(2년 -> 1년)
2014.10.30,다양한 방식의 공공임대 공급확대(공공임대리츠 1만가구 확대 등)
2014.10.30,"준공공임대주택 활성화(의무임대기간 10년 -> 8년, LH 매입확약 등)"
2015.01.13,중산층을 위한 기업형임대 '뉴스테이' 도입
2015.01.13,민간임대주택 특별법 도입
2015.04.06,임차보증금 반환보증 지원 강화
2015.04.06,월세대출 지원요건 완화
2015.09.02,"집주인 리모델링 제도 도입해 독거노인, 대학생 등 1인가구에 공급"
2015.09.02,"뉴스테이 활성화, 정비사업 규제합리화]"
2016.04.28,행복주택 · 뉴스테이 공급물량을 2017년까지 총 30만가구로 확대
2016.04.28,저소득층 및 생애주기별 특화형 임대주택 공급 확대
2016.08.25,"LH 택지공급 조절, PF대출심사 강화, 분양보증 예비심사 도입"
2016.08.25,"중도금대출보증 개선(보증건수 2건 제한, 부분보증 도입)"
2008.06.11,지방 미분양 주택 취득시 취.등록세 50% 감면
2008.06.11,일시적 1가구 2주택 중복보유 허용기간 1 -> 2년 완화
2008.08.21,재건축(재개발) 안전진단 2회 -> 1회 축소
2008.08.21,2종 일반주거지역 층수 15 -> 18층 완화
2008.08.21,인천검단 및 오산세교지구 신도시급으로 확대
2008.08.21,수도권 전매제한 기간 5 ~ 10년 -> 1 ~ 7년 완화
2008.08.21,지방 미분양 아파트 환매조건부 매입
2008.09.19,10년간 500만가구 (보금자리주택 150만 가구 포함) 건설
2008.09.19,"대체주택(1 ~ 2인 가구용 오피스텔, 기숙사형 주택)확대"
2008.09.19,100km2 규모 그린벨트 해제
2008.09.19,사전예약 방식 주택청약제 도입
2008.10.21,일시적 1가구 2주택자 중복보유 허용기간 1 -> 2년 전국확대
2008.10.21,투기지역 및 투기과열지구 합리적 조정
2008.10.21,대한주택보증 환매조건부 미분양 주택 2조원 규모 매입
2008.10.21,건설업체 신요위험평가(A ~ D등급)거쳐 구조조정
2008.11.03,재건축 용적률 법적 한도(300%)까지 허용
2008.11.03,"강남3구 제외한 주택투기과열지구, 투기지역 등 해제"
2009.08.23,주택기금 전세자금 지원 및 민간 전세대출 보증한도 확대
2009.08.23,도시형 생활주택 및 오피스텔 규제 완화
2009.08.27,보금자리주택 2012년까지 32만가구 건설(연 3만 -> 8만가구)
2009.08.27,하반기 보금자리주택지구 5 ~ 6곳 지정
2009.08.27,위례신도시 4만3천가구 중 2만 2천가구 보금자리 배정
2009.08.27,생애최초 주택청약제도 도입
2010.04.23,미분양  주택 4만가구 감축
2010.04.23,종전주택(새 주택을 분양받은 입주예정자)구입자 DTI완화
2010.08.29,무주택 · 1주택자 DTI 구제 한시적 해제
2010.08.29,내년 3월말까지 금융회사 자율 심사 · 결정
2010.08.29,"다주택 양도세 중과 완화 2년, 취.등록세 감면 1년 연장"
2010.08.29,"보금자리 사전예약 축소, 연기, 민간주택 공급비율 상향조정"
